D:/Sources/Other/renderdoc-profiler-counters/example.rdc - Frame #4294967295

 EID  | Event                                                         | Action #
1134  |           - DrawIndexedInstanced(10542, 1)                    | 96    
1153  |           - DrawIndexedInstanced(18114, 1)                    | 97    
1157  |           - DrawIndexedInstanced(5961, 1)                     | 98    
1159  |           - DrawIndexedInstanced(5961, 1)                     | 99    
1161  |           - DrawIndexedInstanced(5961, 1)                     | 100   
1163  |           - DrawIndexedInstanced(5961, 1)                     | 101   
1165  |           - DrawIndexedInstanced(5961, 1)                     | 102   
1167  |           - DrawIndexedInstanced(5961, 1)                     | 103   
1169  |           - DrawIndexedInstanced(5961, 1)                     | 104   
1171  |           - DrawIndexedInstanced(5961, 1)                     | 105   
1173  |           - DrawIndexedInstanced(5961, 1)                     | 106   
1175  |           - DrawIndexedInstanced(5961, 1)                     | 107   
1177  |           - DrawIndexedInstanced(5961, 1)                     | 108   
1179  |           - DrawIndexedInstanced(5961, 1)                     | 109   
1181  |           - DrawIndexedInstanced(5961, 1)                     | 110   
1183  |           - DrawIndexedInstanced(5961, 1)                     | 111   
1185  |           - DrawIndexedInstanced(5961, 1)                     | 112   
1187  |           - DrawIndexedInstanced(5961, 1)                     | 113   
1189  |           - DrawIndexedInstanced(5961, 1)                     | 114   
1191  |           - DrawIndexedInstanced(5961, 1)                     | 115   
1193  |           - DrawIndexedInstanced(5961, 1)                     | 116   
1195  |           - DrawIndexedInstanced(5961, 1)                     | 117   
1197  |           - DrawIndexedInstanced(5961, 1)                     | 118   
1199  |           - DrawIndexedInstanced(5961, 1)                     | 119   
1201  |           - DrawIndexedInstanced(5961, 1)                     | 120   
1203  |           - DrawIndexedInstanced(5961, 1)                     | 121   
1205  |           - DrawIndexedInstanced(5961, 1)                     | 122   
1207  |           - DrawIndexedInstanced(5961, 1)                     | 123   
1209  |           - DrawIndexedInstanced(5961, 1)                     | 124   
1211  |           - DrawIndexedInstanced(5961, 1)                     | 125   
1213  |           - DrawIndexedInstanced(5961, 1)                     | 126   
1215  |           - DrawIndexedInstanced(5961, 1)                     | 127   
1217  |           - DrawIndexedInstanced(5961, 1)                     | 128   
1219  |           - DrawIndexedInstanced(5961, 1)                     | 129   
1221  |           - DrawIndexedInstanced(5961, 1)                     | 130   
1223  |           - DrawIndexedInstanced(5961, 1)                     | 131   
1225  |           - DrawIndexedInstanced(5961, 1)                     | 132   
1227  |           - DrawIndexedInstanced(5961, 1)                     | 133   
1229  |           - DrawIndexedInstanced(5961, 1)                     | 134   
1231  |           - DrawIndexedInstanced(5961, 1)                     | 135   
1233  |           - DrawIndexedInstanced(5961, 1)                     | 136   
1235  |           - DrawIndexedInstanced(5961, 1)                     | 137   
1237  |           - DrawIndexedInstanced(5961, 1)                     | 138   
1239  |           - DrawIndexedInstanced(5961, 1)                     | 139   
1241  |           - DrawIndexedInstanced(5961, 1)                     | 140   
1243  |           - DrawIndexedInstanced(5961, 1)                     | 141   
1245  |           - DrawIndexedInstanced(5961, 1)                     | 142   
1247  |           - DrawIndexedInstanced(5961, 1)                     | 143   
1249  |           - DrawIndexedInstanced(5961, 1)                     | 144   
1251  |           - DrawIndexedInstanced(5961, 1)                     | 145   
1253  |           - DrawIndexedInstanced(5961, 1)                     | 146   
1255  |           - DrawIndexedInstanced(5961, 1)                     | 147   
1257  |           - DrawIndexedInstanced(5961, 1)                     | 148   
1259  |           - DrawIndexedInstanced(5961, 1)                     | 149   
1261  |           - DrawIndexedInstanced(5961, 1)                     | 150   
1263  |           - DrawIndexedInstanced(5961, 1)                     | 151   
1265  |           - DrawIndexedInstanced(5961, 1)                     | 152   
1267  |           - DrawIndexedInstanced(5961, 1)                     | 153   
1269  |           - DrawIndexedInstanced(5961, 1)                     | 154   
1271  |           - DrawIndexedInstanced(5961, 1)                     | 155   
1273  |           - DrawIndexedInstanced(5961, 1)                     | 156   
1275  |           - DrawIndexedInstanced(5961, 1)                     | 157   
1277  |           - DrawIndexedInstanced(5961, 1)                     | 158   
1279  |           - DrawIndexedInstanced(5961, 1)                     | 159   
1281  |           - DrawIndexedInstanced(5961, 1)                     | 160   
1283  |           - DrawIndexedInstanced(5961, 1)                     | 161   
1285  |           - DrawIndexedInstanced(5961, 1)                     | 162   
1287  |           - DrawIndexedInstanced(5961, 1)                     | 163   
1289  |           - DrawIndexedInstanced(5961, 1)                     | 164   
1291  |           - DrawIndexedInstanced(5961, 1)                     | 165   
1311  |           - DrawIndexedInstanced(4458, 1)                     | 166   
1313  |           - DrawIndexedInstanced(4458, 1)                     | 167   
1315  |           - DrawIndexedInstanced(4458, 1)                     | 168   
1317  |           - DrawIndexedInstanced(4458, 1)                     | 169   
1319  |           - DrawIndexedInstanced(4458, 1)                     | 170   
1321  |           - DrawIndexedInstanced(4458, 1)                     | 171   
1323  |           - DrawIndexedInstanced(4458, 1)                     | 172   
1325  |           - DrawIndexedInstanced(4458, 1)                     | 173   
1327  |           - DrawIndexedInstanced(4458, 1)                     | 174   
1329  |           - DrawIndexedInstanced(4458, 1)                     | 175   
1331  |           - DrawIndexedInstanced(4458, 1)                     | 176   
1333  |           - DrawIndexedInstanced(4458, 1)                     | 177   
1335  |           - DrawIndexedInstanced(4458, 1)                     | 178   
1337  |           - DrawIndexedInstanced(4458, 1)                     | 179   
1339  |           - DrawIndexedInstanced(4458, 1)                     | 180   
1341  |           - DrawIndexedInstanced(4458, 1)                     | 181   
1343  |           - DrawIndexedInstanced(4458, 1)                     | 182   
1345  |           - DrawIndexedInstanced(4458, 1)                     | 183   
1347  |           - DrawIndexedInstanced(4458, 1)                     | 184   
1351  |           - DrawIndexedInstanced(11376, 1)                    | 185   
1353  |           - DrawIndexedInstanced(11376, 1)                    | 186   
1355  |           - DrawIndexedInstanced(11376, 1)                    | 187   
1374  |           - DrawIndexedInstanced(1212, 1)                     | 188   
1376  |           - DrawIndexedInstanced(1212, 1)                     | 189   
1378  |           - DrawIndexedInstanced(1212, 1)                     | 190   
1380  |           - DrawIndexedInstanced(1212, 1)                     | 191   
1382  |           - DrawIndexedInstanced(1212, 1)                     | 192   
1384  |           - DrawIndexedInstanced(1212, 1)                     | 193   
1386  |           - DrawIndexedInstanced(1212, 1)                     | 194   
1388  |           - DrawIndexedInstanced(1212, 1)                     | 195   
1390  |           - DrawIndexedInstanced(1212, 1)                     | 196   
1392  |           - DrawIndexedInstanced(1212, 1)                     | 197   
1394  |           - DrawIndexedInstanced(1212, 1)                     | 198   
1396  |           - DrawIndexedInstanced(1212, 1)                     | 199   
1398  |           - DrawIndexedInstanced(1212, 1)                     | 200   
1400  |           - DrawIndexedInstanced(1212, 1)                     | 201   
1402  |           - DrawIndexedInstanced(1212, 1)                     | 202   
1404  |           - DrawIndexedInstanced(1212, 1)                     | 203   
1406  |           - DrawIndexedInstanced(1212, 1)                     | 204   
1408  |           - DrawIndexedInstanced(1212, 1)                     | 205   
1410  |           - DrawIndexedInstanced(1212, 1)                     | 206   
1412  |           - DrawIndexedInstanced(1212, 1)                     | 207   
1414  |           - DrawIndexedInstanced(1212, 1)                     | 208   
1416  |           - DrawIndexedInstanced(1212, 1)                     | 209   
1418  |           - DrawIndexedInstanced(1212, 1)                     | 210   
1420  |           - DrawIndexedInstanced(1212, 1)                     | 211   
1422  |           - DrawIndexedInstanced(1212, 1)                     | 212   
1424  |           - DrawIndexedInstanced(1212, 1)                     | 213   
1426  |           - DrawIndexedInstanced(1212, 1)                     | 214   
1428  |           - DrawIndexedInstanced(1212, 1)                     | 215   
1430  |           - DrawIndexedInstanced(1212, 1)                     | 216   
1432  |           - DrawIndexedInstanced(1212, 1)                     | 217   
1434  |           - DrawIndexedInstanced(1212, 1)                     | 218   
1436  |           - DrawIndexedInstanced(1212, 1)                     | 219   
1438  |           - DrawIndexedInstanced(1212, 1)                     | 220   
1440  |           - DrawIndexedInstanced(1212, 1)                     | 221   
1442  |           - DrawIndexedInstanced(1212, 1)                     | 222   
1444  |           - DrawIndexedInstanced(1212, 1)                     | 223   
1446  |           - DrawIndexedInstanced(1212, 1)                     | 224   
1448  |           - DrawIndexedInstanced(1212, 1)                     | 225   
1450  |           - DrawIndexedInstanced(1212, 1)                     | 226   
1452  |           - DrawIndexedInstanced(1212, 1)                     | 227   
