EID,GPU Duration (ms),Rasterized Primitives,Samples Passed,VS Invocations,PS Invocations,CS Invocations,dram__bytes_op_read.sum (bytes),dram__bytes_op_write.sum (bytes),gpu__time_active.sum,gpu__time_duration.sum,sm__inst_executed.sum,dram__bytes_op_read.avg (bytes),dram__bytes_op_write.avg (bytes),sm__inst_executed.avg,tpc__average_registers_per_thread_shader_3d.avg.ratio,l1tex__t_sector_hit_rate.avg.pct (%),lts__average_t_sector_hit_rate_realtime.avg.pct (%),lts__t_sector_hit_rate.avg.pct (%),smsp__warp_issue_stalled_barrier_per_warp_active.avg.pct (%),smsp__warp_issue_stalled_branch_resolving_per_warp_active.avg.pct (%),smsp__warp_issue_stalled_dispatch_stall_per_warp_active.avg.pct (%),smsp__warp_issue_stalled_drain_per_warp_active.avg.pct (%),smsp__warp_issue_stalled_lg_throttle_per_warp_active.avg.pct (%),smsp__warp_issue_stalled_long_scoreboard_per_warp_active.avg.pct (%),smsp__warp_issue_stalled_long_scoreboard_pipe_l1tex_per_warp_active.avg.pct (%),smsp__warp_issue_stalled_math_pipe_throttle_per_warp_active.avg.pct (%),smsp__warp_issue_stalled_membar_per_warp_active.avg.pct (%),smsp__warp_issue_stalled_mio_throttle_per_warp_active.avg.pct (%),smsp__warp_issue_stalled_mio_throttle_pipe_mio_per_warp_active.avg.pct (%),smsp__warp_issue_stalled_misc_per_warp_active.avg.pct (%),smsp__warp_issue_stalled_no_instruction_per_warp_active.avg.pct (%),smsp__warp_issue_stalled_not_selected_per_warp_active.avg.pct (%),smsp__warp_issue_stalled_selected_per_warp_active.avg.pct (%),smsp__warp_issue_stalled_short_scoreboard_per_warp_active.avg.pct (%),smsp__warp_issue_stalled_sleeping_per_warp_active.avg.pct (%),smsp__warp_issue_stalled_tex_throttle_per_warp_active.avg.pct (%),smsp__warp_issue_stalled_wait_per_warp_active.avg.pct (%),tpc__average_registers_per_thread_shader_3d.avg.pct (%),tpc__average_registers_per_thread_shader_cs.avg.pct (%),tpc__average_registers_per_thread_shader_ps.avg.pct (%),tpc__average_registers_per_thread_shader_vtg.avg.pct (%)
10848,0.0264,14321,36,109208,36,0,148992.00,375296.00,27168.00,27157.40741,1065580.00,24832.00,62549.33333,22199.58333,64.73459,96.71994,91.45114,91.34262,0.00,0.50618,1.41352,0.1231,0.00,0.44619,0.44619,0.02025,0.00,0.41157,0.41157,0.66279,1.49158,0.72374,19.20487,68.47261,0.00,0.00,11.71602,25.28695,0.00,4.8276,6.17386
10856,0.03158,29281,201,142120,201,0,233216.00,387584.00,34112.00,34064.81481,1412091.00,38869.33333,64597.33333,29418.5625,64.40431,92.02663,89.40728,89.31132,0.00,0.50485,1.40521,0.11998,0.00,0.7082,0.7082,0.0231,0.00,0.40932,0.40932,0.92974,1.39462,0.5737,18.77917,58.68625,0.00,0.00,12.06338,25.15793,0.00,4.91572,6.34982
10864,0.01555,7389,960,25432,960,0,172288.00,82944.00,16480.00,16444.44444,328963.00,28714.66667,13824.00,6853.39583,61.04904,67.70508,86.63031,86.65151,0.00,0.47527,0.93619,0.07831,0.00,5.58557,5.58557,0.0334,0.00,0.41633,0.41633,0.62996,1.50968,0.71766,13.58764,61.47463,0.00,0.00,11.21992,23.84728,0.00,4.76388,6.6056
10872,0.04371,23838,49026,44880,49026,0,2546688.00,1448960.00,45120.00,45120.37037,2745751.00,424448.00,241493.33333,57203.14583,52.83412,80.55448,81.37065,81.26575,0.00,1.00839,1.25004,0.08007,0.00,23.87994,23.87994,0.20679,0.00,0.61114,0.61114,0.42303,1.78444,4.54522,17.70193,27.87589,0.00,0.03784,22.68681,20.63833,0.00,4.89453,6.37175
10878,0.03968,23628,62126,44880,62126,0,2737664.00,2512896.00,40608.00,40601.85185,3156308.00,456277.33333,418816.00,65756.41667,51.70744,80.64658,82.85649,82.76491,0.00,1.01798,1.63031,0.07847,0.00,24.29896,24.29896,0.28075,0.00,1.08502,1.08502,0.34775,1.82917,8.26636,17.60785,22.87932,0.00,0.45641,22.81805,20.19822,0.00,4.93344,6.83295
10886,0.02717,3016,7103,107712,7103,0,434688.00,323584.00,27232.00,27175.92593,1277788.00,72448.00,53930.66667,26620.58333,74.75078,82.96907,91.4711,83.29032,0.00,0.57052,1.33121,0.10434,0.00,6.14552,6.14552,0.05877,0.00,0.73781,0.73781,0.10958,1.56594,1.67646,17.23937,57.05816,0.00,0.0124,12.39939,29.19952,0.00,4.9219,5.17476
10894,0.01408,7387,0,49368,0,0,123904.00,282112.00,15872.00,15824.07407,477084.00,20650.66667,47018.66667,9939.25,64.86987,96.90572,90.36192,82.16094,0.00,0.43359,1.27394,0.10689,0.00,0.53562,0.53562,0.01911,0.00,0.7314,0.7314,0.55015,1.35641,1.64291,16.66465,66.4226,0.00,0.00,10.08009,25.33979,0.00,0.00,6.6337
10902,0.0127,15946,0,38896,0,0,243712.00,438272.00,14272.00,14250.00,379000.00,40618.66667,73045.33333,7895.83333,64.77378,97.05401,84.32028,79.65729,0.00,0.4088,1.20471,0.10007,0.00,0.00,0.00,0.01058,0.00,0.64664,0.64664,1.36046,1.36447,0.88758,15.84213,63.11016,0.00,0.00,10.80764,25.30226,0.00,0.00,5.73779
10910,0.01267,16571,0,40392,0,0,138496.00,270336.00,14816.00,14768.51852,393347.00,23082.66667,45056.00,8194.72917,64.81941,98.10875,85.77512,80.25038,0.00,0.42415,1.26264,0.10355,0.00,0.00,0.00,0.0117,0.00,0.5879,0.5879,1.45041,1.39168,0.95934,16.43088,75.49505,0.00,0.00,11.14339,25.32008,0.00,0.00,6.71813
10918,0.00682,2430,0,5984,0,0,26368.00,23552.00,8288.00,8240.74074,58431.00,4394.66667,3925.33333,1217.3125,64.38784,81.11702,86.72881,68.86157,0.00,0.18423,0.48274,0.04593,0.00,0.00,0.00,0.00012,0.00,0.15128,0.15128,0.69625,1.52062,0.00294,7.15735,76.10185,0.00,0.00,5.01508,25.1515,0.00,0.00,6.13377
10926,0.01706,38825,5,56848,5,0,830976.00,346880.00,17472.00,17435.18519,559109.00,138496.00,57813.33333,11648.10417,64.85272,96.74875,80.58333,80.4322,0.00,0.46784,1.45287,0.11559,0.00,0.66068,0.66068,0.00773,0.00,0.82266,0.82266,2.49403,1.47451,1.39862,18.2255,64.16747,0.00,0.00,13.76367,25.33309,0.00,4.71535,6.38534
10934,0.03395,110192,63,145112,63,0,1542144.00,514048.00,34336.00,34305.55556,1442675.00,257024.00,85674.66667,30055.72917,64.80666,96.0143,81.62048,81.61963,0.00,0.58412,1.62028,0.14197,0.00,0.33523,0.33523,0.00861,0.00,0.91467,0.91467,3.26859,1.66557,0.49243,22.50796,59.18691,0.00,0.00,17.42914,25.3151,0.00,4.65249,6.40183
10942,0.03315,77248,664,101728,664,0,1421824.00,271104.00,35424.00,35407.40741,1089976.00,236970.66667,45184.00,22707.83333,63.44346,84.30537,81.14469,83.13138,0.00,0.59951,1.50583,0.1273,0.00,1.36286,1.36286,0.02789,0.00,0.79207,0.79207,3.12695,1.65533,0.85921,20.88355,52.26138,0.00,0.00,17.0856,24.7826,0.00,4.75087,6.40584
10950,0.03363,55664,5985,73304,5985,0,1442816.00,255232.00,35104.00,35074.07407,1132943.00,240469.33333,42538.66667,23602.97917,59.50712,83.05015,80.46828,84.35626,0.00,0.77546,1.29427,0.10824,0.00,5.7871,5.7871,0.0718,0.00,0.7488,0.7488,1.89622,1.76694,1.39387,19.78242,44.981,0.00,0.00143,19.71454,23.24497,0.00,4.86001,6.48818
10958,0.0247,21584,19442,28424,19442,0,1452032.00,331264.00,25824.00,25814.81481,1187339.00,242005.33333,55210.66667,24736.22917,54.85,86.00224,77.67509,81.6237,0.00,1.08929,1.10074,0.09378,0.00,12.8186,12.8186,0.15005,0.00,0.65785,0.65785,0.9037,1.95035,1.92247,20.18004,37.71083,0.00,0.0037,24.93516,21.42578,0.00,4.94646,6.20554
10966,0.01373,4544,5141,5984,5141,0,618752.00,111360.00,13536.00,13518.51852,275060.00,103125.33333,18560.00,5730.41667,55.00691,80.39835,74.21901,81.23625,0.00,0.78883,0.70606,0.06551,0.00,15.94719,15.94719,0.09498,0.00,0.24519,0.24519,0.72713,2.18555,0.73339,14.37052,42.45297,0.00,0.00772,17.942,21.48707,0.00,4.94342,6.11859
